customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,total_charges,churn
CUST-00029,male,1,no,no,61,yes,no,dsl,no,no,yes,yes,yes,yes,month-to-month,yes,bank-transfer-automatic,68.82,4274.56,0
CUST-00030,female,0,no,yes,29,yes,yes,dsl,yes,yes,yes,yes,no,no,month-to-month,yes,mailed-check,77.34,2110.39,1
CUST-00031,female,0,yes,no,54,yes,yes,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,one-year,yes,electronic-check,23.06,1300.57,0
CUST-00032,female,0,no,yes,31,yes,no,dsl,no,no,no,yes,yes,no,month-to-month,no,electronic-check,63.66,1999.13,0
CUST-00033,female,0,no,no,8,yes,yes,fiber-optic,yes,no,no,no,no,no,month-to-month,yes,electronic-check,75.58,599.19,1
CUST-00034,male,0,yes,yes,58,yes,no,fiber-optic,yes,yes,yes,no,yes,no,month-to-month,no,credit-card-automatic,91.11,5250.78,1
CUST-00035,male,1,no,no,67,no,no-phone-service,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,month-to-month,no,bank-transfer-automatic,25.35,1734.94,0
CUST-00036,female,1,no,no,71,no,no-phone-service,fiber-optic,no,no,yes,no,yes,no,one-year,yes,mailed-check,90.39,6384.69,1
CUST-00037,male,0,no,no,8,yes,yes,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,two-year,yes,credit-card-automatic,24.21,160.0,0
CUST-00038,male,0,yes,no,41,yes,no,fiber-optic,yes,yes,yes,no,no,no,one-year,no,electronic-check,72.86,2992.04,0
CUST-00039,female,0,yes,no,45,yes,no,fiber-optic,no,yes,no,yes,yes,yes,one-year,yes,electronic-check,94.06,4361.68,1
CUST-00040,male,0,no,no,6,yes,no,dsl,no,yes,no,yes,yes,no,two-year,yes,electronic-check,57.75,233.03,0
CUST-00041,female,0,yes,no,69,yes,yes,fiber-optic,no,no,yes,yes,no,no,one-year,yes,credit-card-automatic,77.63,5394.02,0
CUST-00042,male,0,yes,no,8,yes,no,dsl,yes,yes,no,yes,yes,no,month-to-month,yes,mailed-check,71.66,562.55,0
CUST-00043,male,0,yes,no,20,yes,yes,fiber-optic,yes,no,no,no,no,yes,month-to-month,no,electronic-check,95.58,1895.06,1
CUST-00044,female,0,yes,no,70,yes,no,dsl,yes,yes,yes,yes,no,yes,one-year,yes,bank-transfer-automatic,71.14,4865.28,0
CUST-00045,female,0,no,yes,41,yes,no,dsl,no,yes,yes,yes,yes,yes,one-year,yes,credit-card-automatic,88.78,3508.3,0
CUST-00046,male,0,no,no,49,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,two-year,no,mailed-check,18.0,907.49,0
CUST-00047,female,0,no,no,36,yes,no,fiber-optic,yes,no,yes,yes,yes,yes,month-to-month,yes,mailed-check,106.85,3751.4,0
CUST-00048,male,0,no,no,55,yes,yes,fiber-optic,no,yes,yes,yes,yes,no,two-year,no,mailed-check,95.45,5325.98,0
CUST-00049,male,0,yes,yes,6,no,no-phone-service,dsl,no,yes,no,no,yes,yes,month-to-month,no,credit-card-automatic,64.67,311.83,0
CUST-00050,male,0,yes,no,49,yes,yes,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,two-year,yes,credit-card-automatic,31.07,1563.75,0
CUST-00051,male,0,yes,yes,5,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,month-to-month,yes,electronic-check,18.0,46.8,0
CUST-00052,female,0,yes,no,13,yes,yes,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,month-to-month,yes,electronic-check,30.22,346.06,0
CUST-00053,female,0,yes,no,37,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,bank-transfer-automatic,51.33,1830.67,0
CUST-00054,female,0,yes,yes,33,yes,no,dsl,yes,yes,no,yes,no,no,month-to-month,yes,mailed-check,57.86,1942.14,0
CUST-00055,female,0,yes,no,11,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,month-to-month,yes,bank-transfer-automatic,18.0,251.67,1
CUST-00056,female,1,yes,yes,58,yes,yes,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,two-year,yes,credit-card-automatic,34.68,1987.78,0
CUST-00057,male,0,no,no,22,yes,yes,dsl,no,no,no,yes,yes,no,month-to-month,no,electronic-check,67.13,1521.2,1
CUST-00058,female,0,no,no,63,yes,yes,dsl,no,no,no,no,yes,no,month-to-month,yes,bank-transfer-automatic,49.18,3099.29,0
CUST-00059,male,0,no,no,2,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,month-to-month,yes,electronic-check,24.36,0.0,1
CUST-00060,male,1,no,no,18,no,no-phone-service,fiber-optic,no,no,no,yes,yes,yes,one-year,yes,electronic-check,90.01,1648.57,1
CUST-00061,male,0,no,yes,22,yes,yes,fiber-optic,yes,no,no,no,yes,no,month-to-month,no,electronic-check,79.18,1719.42,1
CUST-00062,male,1,yes,no,43,yes,yes,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,month-to-month,yes,mailed-check,29.72,1081.89,0
CUST-00063,female,0,no,no,29,yes,no,dsl,no,yes,yes,yes,no,no,two-year,yes,credit-card-automatic,58.0,1652.69,0
CUST-00064,male,0,yes,yes,12,yes,no,fiber-optic,no,yes,yes,yes,no,yes,month-to-month,no,mailed-check,74.47,766.63,1
CUST-00065,female,0,yes,no,42,yes,yes,dsl,no,yes,no,no,yes,no,two-year,no,credit-card-automatic,60.08,2430.99,0
CUST-00066,female,0,yes,no,69,no,no-phone-service,dsl,yes,no,yes,no,no,yes,month-to-month,yes,bank-transfer-automatic,63.53,4364.9,0
CUST-00067,male,0,yes,no,10,yes,yes,dsl,yes,no,yes,yes,no,yes,one-year,no,mailed-check,63.25,626.86,0
CUST-00068,female,0,yes,no,19,no,no-phone-service,dsl,no,no,yes,yes,yes,no,one-year,yes,mailed-check,55.86,998.71,1
CUST-00069,female,0,no,no,35,yes,no,fiber-optic,yes,yes,no,no,yes,yes,month-to-month,yes,electronic-check,79.52,2822.75,0
CUST-00070,female,1,no,no,53,yes,no,dsl,no,yes,yes,yes,yes,yes,one-year,yes,electronic-check,72.1,3812.71,0
CUST-00071,male,0,no,yes,10,yes,no,fiber-optic,no,yes,no,yes,no,yes,month-to-month,no,electronic-check,80.0,768.2,1
CUST-00072,female,0,no,no,17,no,no-phone-service,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,month-to-month,no,credit-card-automatic,27.72,474.5,0
CUST-00073,female,0,no,no,17,yes,no,fiber-optic,no,yes,yes,yes,yes,yes,two-year,yes,electronic-check,101.13,1809.59,1
CUST-00074,female,0,yes,yes,45,yes,yes,dsl,no,yes,yes,no,no,yes,two-year,yes,bank-transfer-automatic,59.12,2499.13,0
CUST-00075,male,0,no,no,6,yes,no,dsl,no,yes,no,yes,no,yes,month-to-month,no,credit-card-automatic,67.18,500.54,1
CUST-00076,female,1,no,yes,48,yes,yes,dsl,no,no,no,no,no,no,one-year,no,mailed-check,49.14,2312.47,1
CUST-00077,female,0,yes,no,31,yes,yes,dsl,no,yes,yes,yes,yes,yes,month-to-month,yes,bank-transfer-automatic,70.84,2137.62,0
CUST-00078,female,0,yes,no,24,yes,no,dsl,yes,no,no,yes,yes,no,month-to-month,yes,bank-transfer-automatic,62.56,1471.28,1
CUST-00079,male,0,no,no,63,yes,yes,dsl,no,yes,yes,no,no,no,month-to-month,yes,bank-transfer-automatic,72.17,4480.21,1
CUST-00080,male,0,no,yes,59,yes,no,fiber-optic,yes,yes,no,no,no,yes,one-year,yes,electronic-check,92.15,5358.82,0
CUST-00081,male,0,yes,no,58,yes,yes,fiber-optic,yes,no,yes,yes,no,yes,one-year,no,electronic-check,89.61,5260.89,0
CUST-00082,female,0,no,no,64,yes,yes,dsl,no,no,no,yes,no,yes,month-to-month,yes,credit-card-automatic,65.15,4181.58,1
CUST-00083,female,0,yes,no,17,yes,no,fiber-optic,yes,no,no,no,no,no,two-year,yes,mailed-check,83.86,1281.79,0
CUST-00084,male,1,yes,no,62,no,no-phone-service,dsl,yes,yes,no,no,yes,no,one-year,yes,electronic-check,67.08,4209.52,0
CUST-00085,male,1,yes,no,13,yes,no,fiber-optic,yes,no,yes,no,no,yes,month-to-month,yes,credit-card-automatic,86.37,1162.44,1
CUST-00086,male,1,yes,no,24,yes,yes,dsl,no,no,no,no,no,yes,month-to-month,no,bank-transfer-automatic,51.84,1132.82,1
CUST-00087,female,0,no,no,40,yes,yes,fiber-optic,no,no,no,yes,yes,yes,one-year,yes,electronic-check,78.4,3149.52,1
CUST-00088,female,0,yes,no,54,yes,no,dsl,yes,yes,no,no,yes,no,month-to-month,no,mailed-check,64.44,3526.29,0
CUST-00089,male,1,no,yes,42,yes,no,fiber-optic,no,yes,yes,yes,no,yes,month-to-month,no,mailed-check,89.12,3622.72,0
CUST-00090,male,0,yes,no,41,yes,no,dsl,yes,yes,no,yes,yes,no,month-to-month,no,electronic-check,64.51,2666.31,1
CUST-00091,female,0,no,no,28,yes,no,fiber-optic,no,no,yes,no,no,no,month-to-month,yes,bank-transfer-automatic,81.99,2245.09,1
CUST-00092,male,0,no,no,43,yes,no,dsl,no,no,no,yes,no,no,month-to-month,yes,electronic-check,66.5,2900.16,0
CUST-00093,male,0,no,no,35,yes,no,fiber-optic,yes,no,yes,no,yes,yes,one-year,yes,credit-card-automatic,94.99,3254.63,0
CUST-00094,female,0,no,no,35,yes,yes,dsl,no,yes,no,yes,no,yes,one-year,no,mailed-check,62.16,2253.77,0
CUST-00095,male,1,no,yes,43,yes,no,dsl,no,yes,yes,no,no,yes,two-year,yes,electronic-check,64.85,2770.28,0
CUST-00096,female,0,no,no,44,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,two-year,yes,mailed-check,29.1,1234.28,0
CUST-00097,female,0,no,no,24,yes,no,dsl,yes,no,yes,no,yes,yes,month-to-month,yes,mailed-check,71.1,1652.21,0
CUST-00098,male,0,no,no,10,no,no-phone-service,dsl,no,yes,no,no,no,yes,month-to-month,no,bank-transfer-automatic,59.55,661.05,0
CUST-00099,male,0,yes,no,22,yes,no,dsl,yes,yes,no,yes,yes,yes,month-to-month,yes,credit-card-automatic,75.12,1598.4,0
CUST-00100,female,0,yes,no,30,yes,yes,fiber-optic,no,yes,no,no,no,no,two-year,yes,electronic-check,65.57,2046.63,0
CUST-00101,male,0,yes,no,12,no,no-phone-service,dsl,no,yes,no,no,yes,no,month-to-month,no,credit-card-automatic,61.12,749.45,0
CUST-00102,female,1,yes,no,13,yes,no,fiber-optic,yes,no,no,no,no,no,month-to-month,yes,electronic-check,72.0,832.08,1
CUST-00103,male,0,yes,no,69,no,no-phone-service,dsl,yes,yes,yes,yes,no,no,one-year,yes,electronic-check,71.16,4911.99,0
CUST-00104,female,0,yes,no,21,yes,yes,fiber-optic,yes,no,no,yes,yes,no,month-to-month,no,electronic-check,81.12,1707.03,1
CUST-00105,male,1,no,yes,54,yes,yes,fiber-optic,yes,no,yes,yes,no,no,two-year,yes,bank-transfer-automatic,93.73,4955.06,0
CUST-00106,male,0,yes,no,10,yes,no,dsl,no,no,no,no,yes,yes,month-to-month,yes,electronic-check,56.78,568.42,0
CUST-00107,male,0,no,no,71,yes,no,dsl,no,no,yes,no,yes,yes,month-to-month,yes,electronic-check,53.84,3863.3,0
CUST-00108,male,0,yes,no,16,no,no-phone-service,fiber-optic,yes,no,no,no,yes,no,two-year,yes,bank-transfer-automatic,79.67,1359.33,1
CUST-00109,female,0,no,no,29,yes,yes,dsl,no,no,no,no,yes,no,month-to-month,no,electronic-check,70.65,2130.18,1
CUST-00110,male,0,yes,no,57,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,month-to-month,yes,electronic-check,18.0,1205.18,0
CUST-00111,female,0,yes,no,15,yes,no,fiber-optic,yes,no,no,no,yes,no,one-year,yes,electronic-check,83.33,1249.99,1
CUST-00112,male,0,yes,no,40,yes,yes,fiber-optic,no,yes,yes,yes,yes,no,one-year,yes,electronic-check,83.92,3398.34,0
CUST-00113,male,0,no,no,57,yes,yes,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,month-to-month,yes,electronic-check,31.02,1722.67,0
CUST-00114,female,0,yes,yes,2,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,month-to-month,yes,electronic-check,26.53,194.38,1
CUST-00115,male,0,no,no,2,yes,yes,fiber-optic,yes,no,no,yes,no,no,month-to-month,yes,credit-card-automatic,83.49,100.16,1
CUST-00116,male,0,yes,no,57,yes,no,dsl,no,yes,no,yes,yes,yes,month-to-month,no,electronic-check,75.34,4432.32,0
CUST-00117,female,0,no,no,19,no,no-phone-service,fiber-optic,no,yes,no,yes,no,yes,month-to-month,yes,electronic-check,88.96,1818.56,0
CUST-00118,female,0,yes,yes,66,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,month-to-month,yes,bank-transfer-automatic,20.05,1264.43,0
CUST-00119,female,0,no,no,67,yes,yes,dsl,no,yes,yes,yes,yes,yes,one-year,no,bank-transfer-automatic,68.21,4647.79,0
CUST-00120,female,0,yes,no,64,yes,no,fiber-optic,yes,yes,no,yes,yes,no,one-year,yes,credit-card-automatic,89.11,5737.29,0
CUST-00121,female,0,yes,no,72,yes,no,fiber-optic,yes,no,no,yes,yes,no,month-to-month,yes,mailed-check,83.29,5965.98,0
CUST-00122,male,1,yes,yes,60,yes,no,dsl,yes,yes,yes,no,no,no,month-to-month,no,bank-transfer-automatic,65.08,3894.61,0
CUST-00123,male,0,yes,no,28,yes,no,fiber-optic,no,no,yes,no,no,no,month-to-month,no,bank-transfer-automatic,61.86,1751.99,0
CUST-00124,female,0,yes,no,72,yes,no,dsl,no,no,yes,no,yes,no,month-to-month,yes,credit-card-automatic,66.24,4796.33,0
CUST-00125,male,1,no,yes,25,yes,no,dsl,no,no,yes,no,yes,no,two-year,yes,electronic-check,75.57,2001.31,0
CUST-00126,male,0,yes,yes,43,yes,no,dsl,no,no,yes,yes,no,yes,month-to-month,yes,credit-card-automatic,59.54,2603.06,1
CUST-00127,female,0,yes,yes,1,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,two-year,yes,credit-card-automatic,29.4,0.0,0
CUST-00128,male,1,no,no,70,no,no-phone-service,fiber-optic,no,no,no,no,no,no,one-year,yes,mailed-check,72.93,5160.87,1
CUST-00129,male,0,yes,yes,43,yes,yes,fiber-optic,no,yes,yes,no,no,yes,two-year,yes,mailed-check,82.18,3402.67,0
CUST-00130,male,0,yes,no,69,yes,no,fiber-optic,no,yes,yes,no,yes,no,two-year,no,electronic-check,83.95,5763.56,0
CUST-00131,male,0,no,no,26,yes,yes,dsl,no,yes,no,yes,yes,no,one-year,yes,mailed-check,63.69,1634.17,0
CUST-00132,male,0,no,no,23,yes,no,fiber-optic,no,no,no,no,yes,yes,one-year,no,bank-transfer-automatic,76.23,1802.66,1
CUST-00133,female,0,no,no,38,yes,no,dsl,yes,no,yes,yes,no,yes,month-to-month,yes,bank-transfer-automatic,72.85,2901.11,0
CUST-00134,male,1,yes,no,63,yes,no,dsl,no,yes,yes,no,no,no,one-year,yes,mailed-check,55.85,3534.88,0
CUST-00135,male,1,no,yes,40,yes,yes,dsl,no,no,no,no,yes,no,month-to-month,yes,electronic-check,46.41,1829.3,1
CUST-00136,female,0,yes,no,58,yes,no,dsl,no,yes,yes,no,no,yes,month-to-month,yes,credit-card-automatic,62.84,3592.35,0
CUST-00137,male,0,no,yes,16,yes,yes,fiber-optic,yes,yes,yes,no,yes,no,two-year,yes,mailed-check,86.45,1445.83,1
CUST-00138,female,0,no,yes,56,yes,no,fiber-optic,yes,yes,no,no,yes,yes,one-year,yes,electronic-check,89.38,4990.67,0
CUST-00139,female,1,no,no,53,yes,no,dsl,no,no,yes,no,no,yes,month-to-month,no,bank-transfer-automatic,59.57,3119.47,0
CUST-00140,female,0,yes,yes,65,yes,no,fiber-optic,no,no,no,no,no,no,two-year,no,bank-transfer-automatic,61.28,4054.55,0
CUST-00141,male,1,yes,yes,5,yes,no,dsl,no,yes,no,yes,yes,yes,month-to-month,yes,mailed-check,81.67,496.05,1
CUST-00142,female,1,no,no,28,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,two-year,yes,electronic-check,28.5,726.05,0
CUST-00143,female,0,no,no,7,yes,yes,fiber-optic,no,no,no,no,yes,yes,one-year,no,bank-transfer-automatic,76.96,426.48,1
CUST-00144,female,0,no,yes,29,yes,yes,dsl,no,no,no,no,no,no,month-to-month,yes,electronic-check,47.85,1380.32,1
CUST-00145,male,1,no,no,55,yes,yes,fiber-optic,yes,yes,no,no,no,no,month-to-month,yes,mailed-check,89.09,4814.43,1
CUST-00146,male,0,no,no,47,no,no-phone-service,fiber-optic,yes,no,no,no,no,no,two-year,no,credit-card-automatic,78.67,3601.71,1
CUST-00147,female,0,yes,no,55,yes,yes,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,month-to-month,yes,bank-transfer-automatic,35.04,1849.15,0
CUST-00148,female,1,yes,yes,54,yes,yes,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,two-year,no,mailed-check,20.09,1163.35,0
CUST-00149,male,0,yes,no,72,yes,yes,fiber-optic,no,yes,yes,no,no,no,month-to-month,yes,credit-card-automatic,91.51,6637.5,1
CUST-00150,female,0,yes,no,64,yes,yes,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,month-to-month,no,credit-card-automatic,18.0,1336.31,0
CUST-00151,male,0,yes,yes,43,yes,yes,fiber-optic,yes,no,no,yes,yes,yes,one-year,yes,credit-card-automatic,82.55,3501.5,0
CUST-00152,female,0,no,yes,64,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,month-to-month,yes,bank-transfer-automatic,33.48,2242.46,0
CUST-00153,male,1,no,yes,4,yes,yes,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,month-to-month,no,bank-transfer-automatic,18.54,111.18,1
CUST-00154,female,0,no,no,52,yes,no,fiber-optic,no,no,no,yes,no,no,one-year,yes,bank-transfer-automatic,67.66,3476.59,0
CUST-00155,female,0,yes,yes,38,yes,yes,dsl,yes,no,no,no,no,yes,month-to-month,yes,electronic-check,57.62,2178.56,0
CUST-00156,male,0,no,no,69,yes,no,dsl,no,no,no,yes,yes,no,month-to-month,no,credit-card-automatic,68.11,4657.5,1
CUST-00157,female,1,no,no,37,yes,yes,fiber-optic,no,yes,yes,yes,yes,yes,two-year,yes,credit-card-automatic,92.89,3456.33,1
CUST-00158,male,0,no,yes,13,yes,no,fiber-optic,yes,no,yes,yes,yes,yes,month-to-month,yes,electronic-check,96.67,1330.71,1
CUST-00159,male,1,no,no,53,yes,no,dsl,yes,yes,no,yes,no,no,one-year,yes,bank-transfer-automatic,50.16,2630.84,0
CUST-00160,male,0,no,yes,69,yes,yes,fiber-optic,yes,no,no,no,no,no,one-year,no,credit-card-automatic,73.25,5117.88,0
CUST-00161,male,1,no,yes,2,yes,no,fiber-optic,yes,yes,no,no,no,yes,one-year,yes,electronic-check,96.98,289.3,1
CUST-00162,male,1,yes,no,5,yes,yes,fiber-optic,yes,yes,no,no,yes,no,month-to-month,no,bank-transfer-automatic,82.73,525.69,1
CUST-00163,female,1,no,no,48,yes,no,dsl,yes,yes,no,no,no,yes,two-year,yes,electronic-check,54.82,2543.39,1
CUST-00164,female,1,yes,no,41,yes,no,fiber-optic,no,no,yes,yes,yes,yes,month-to-month,yes,bank-transfer-automatic,87.79,3595.7,0
CUST-00165,female,0,yes,no,40,yes,yes,dsl,yes,no,yes,no,yes,yes,two-year,no,electronic-check,63.12,2578.01,0
CUST-00166,male,0,yes,yes,7,no,no-phone-service,fiber-optic,yes,no,no,no,no,yes,one-year,yes,electronic-check,88.12,535.33,1
CUST-00167,female,0,no,no,42,no,no-phone-service,fiber-optic,yes,yes,no,no,no,yes,one-year,no,electronic-check,90.04,3683.46,0
CUST-00168,female,0,no,yes,41,yes,no,dsl,no,yes,no,no,no,yes,month-to-month,yes,credit-card-automatic,62.58,2563.8,0
CUST-00169,female,1,no,no,62,yes,yes,fiber-optic,no,no,yes,yes,no,no,month-to-month,yes,bank-transfer-automatic,84.23,5191.29,1
CUST-00170,female,1,yes,no,29,yes,no,dsl,no,yes,no,yes,yes,no,month-to-month,yes,bank-transfer-automatic,60.04,1728.23,1
CUST-00171,female,0,yes,no,26,yes,yes,fiber-optic,no,no,yes,yes,yes,yes,one-year,yes,electronic-check,85.79,2195.19,0
CUST-00172,female,0,no,no,6,yes,no,dsl,no,no,yes,no,no,no,month-to-month,yes,bank-transfer-automatic,56.46,500.75,1
CUST-00173,male,0,yes,no,41,yes,yes,fiber-optic,yes,no,yes,no,yes,no,month-to-month,no,credit-card-automatic,99.71,4053.49,1
CUST-00174,male,0,no,no,47,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,month-to-month,no,bank-transfer-automatic,18.0,889.92,0
CUST-00175,male,0,yes,yes,21,yes,yes,fiber-optic,no,no,yes,yes,yes,yes,month-to-month,no,electronic-check,83.86,1799.95,1
CUST-00176,female,0,no,yes,53,yes,yes,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,month-to-month,yes,bank-transfer-automatic,18.0,827.34,1
CUST-00177,male,0,no,yes,68,yes,yes,fiber-optic,no,no,yes,no,no,no,month-to-month,yes,bank-transfer-automatic,83.65,5798.16,0
CUST-00178,female,0,no,no,13,yes,no,fiber-optic,no,no,yes,yes,no,no,month-to-month,no,bank-transfer-automatic,81.66,1108.51,0
CUST-00179,male,0,yes,no,42,yes,yes,dsl,no,yes,no,yes,yes,yes,month-to-month,yes,credit-card-automatic,72.44,3054.25,0
CUST-00180,male,0,no,yes,50,yes,no,fiber-optic,no,no,no,no,yes,yes,month-to-month,yes,electronic-check,77.94,3976.31,0
CUST-00181,male,1,no,no,2,yes,no,dsl,no,yes,no,no,yes,yes,one-year,yes,electronic-check,69.95,136.32,1
CUST-00182,female,0,no,no,13,yes,yes,dsl,no,no,yes,yes,yes,yes,two-year,no,mailed-check,65.7,920.24,0
CUST-00183,female,0,no,yes,29,yes,yes,dsl,no,no,no,yes,no,no,month-to-month,no,bank-transfer-automatic,40.64,1037.84,0
CUST-00184,male,0,yes,no,10,yes,yes,dsl,no,no,yes,yes,yes,no,one-year,yes,credit-card-automatic,70.38,765.11,1
CUST-00185,female,0,no,no,26,yes,yes,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,month-to-month,no,credit-card-automatic,19.71,526.23,0
